SalaryID,EmployeeID,AnnualSalary,SalaryStartDate,SalaryEndDate
0,0,56663,2019-03-13,2028-08-27
1,1,55482,2021-03-28,2027-07-07
2,2,113757,2019-04-18,2024-11-08
3,3,76654,2022-03-16,2025-12-20
4,4,85997,2020-03-03,2025-07-06
5,5,91844,2021-02-22,2024-05-24
6,6,68412,2022-11-27,2027-04-14
7,7,97906,2023-04-24,2024-09-11
8,8,87302,2023-08-19,2026-08-14
9,9,95993,2019-12-06,2028-06-29
10,10,47053,2021-07-06,2028-09-29
11,11,108615,2023-05-05,2026-11-28
12,12,41928,2022-01-30,2027-08-29
13,13,61946,2020-06-06,2024-10-03
14,14,116832,2020-07-30,2025-05-31
15,15,48211,2023-10-21,2025-09-06
16,16,67229,2022-11-12,2027-06-17
17,17,49247,2023-05-11,2024-02-02
18,18,97065,2021-10-13,2025-04-12
19,19,80292,2019-10-08,2026-02-09
20,20,116876,2022-12-23,2028-05-20
21,21,78530,2021-04-29,2025-05-07
22,22,59770,2022-08-05,2024-11-26
23,23,110398,2019-06-10,2025-03-15
24,24,64764,2020-09-30,2025-05-13
25,25,117014,2020-06-01,2025-12-01
26,26,95598,2019-12-19,2027-11-05
27,27,95222,2021-04-03,2026-03-06
28,28,48932,2020-06-06,2025-05-19
29,29,117877,2019-05-28,2026-06-19
30,30,67812,2020-06-22,2024-02-22
31,31,74817,2020-10-31,2027-09-14
32,32,43001,2019-09-30,2028-06-17
33,33,42034,2022-09-18,2026-09-26
34,34,66516,2020-03-25,2025-05-08
35,35,110927,2021-04-11,2026-01-20
36,36,52485,2023-08-11,2026-11-15
37,37,57060,2022-11-22,2025-01-24
38,38,85808,2022-03-31,2024-01-04
39,39,82209,2021-12-09,2027-08-21
40,40,76755,2022-11-28,2026-08-24
41,41,74379,2021-10-31,2024-04-15
42,42,103828,2020-12-01,2027-08-02
43,43,99213,2020-01-30,2028-10-08
44,44,61223,2023-09-19,2027-10-13
45,45,107151,2020-09-18,2025-10-11
46,46,98855,2023-09-13,2026-12-19
47,47,103305,2020-03-02,2024-12-06
48,48,60292,2018-12-28,2025-09-22
49,49,101004,2019-12-10,2026-07-30
50,50,94897,2023-02-28,2028-03-09
51,51,86667,2022-12-17,2027-06-14
52,52,62290,2020-02-07,2026-12-31
53,53,70426,2020-01-04,2024-05-17
54,54,62054,2021-04-01,2026-03-28
55,55,111424,2020-01-10,2027-01-26
56,56,114764,2019-02-18,2028-07-03
57,57,113603,2020-01-15,2028-09-25
58,58,86039,2019-11-24,2025-01-05
59,59,50843,2022-11-03,2027-07-27
60,60,89520,2020-01-29,2028-10-14
61,61,90623,2020-10-11,2025-06-28
62,62,56513,2023-07-07,2026-04-22
63,63,91151,2023-08-26,2027-02-08
64,64,92818,2021-04-19,2026-10-03
65,65,85276,2020-04-24,2024-03-27
66,66,41691,2023-03-18,2026-01-17
67,67,46610,2021-07-23,2028-09-08
68,68,77344,2021-12-01,2023-11-06
69,69,53106,2021-03-19,2024-10-07
70,70,46731,2021-02-10,2025-09-03
71,71,60183,2019-03-10,2026-12-12
72,72,51535,2023-06-27,2024-01-19
73,73,95042,2021-05-01,2027-02-15
74,74,119864,2019-03-08,2025-07-16
75,75,48005,2022-10-22,2028-08-08
76,76,45310,2023-03-02,2024-03-02
77,77,61138,2020-02-03,2024-06-11
78,78,67957,2021-12-20,2026-07-28
79,79,51905,2019-06-25,2028-07-20
80,80,67618,2020-10-26,2027-06-12
81,81,66961,2019-07-26,2027-10-05
82,82,109334,2019-07-04,2026-04-02
83,83,42567,2022-09-02,2026-11-24
84,84,41969,2022-01-07,2028-03-29
85,85,94686,2023-10-16,2026-05-19
86,86,40770,2018-11-27,2025-05-20
87,87,115675,2023-06-01,2024-11-04
88,88,113572,2020-01-24,2028-09-21
89,89,97846,2021-09-21,2027-12-18
90,90,45025,2021-08-28,2027-12-20
91,91,118039,2023-04-18,2025-06-01
92,92,46497,2020-12-19,2028-07-10
93,93,111915,2022-01-27,2027-02-17
94,94,82985,2020-03-30,2027-03-07
95,95,45206,2020-09-23,2024-06-18
96,96,101746,2022-07-07,2026-08-11
97,97,65519,2022-03-11,2028-05-21
98,98,45736,2020-12-11,2025-02-25
99,99,96132,2019-07-08,2025-04-16
100,100,56631,2019-02-02,2026-04-29
101,101,47773,2019-07-19,2026-07-28
102,102,75110,2019-09-13,2028-09-03
103,103,80280,2022-09-13,2025-05-23
104,104,46130,2022-04-29,2027-06-21
105,105,57258,2022-10-12,2028-04-20
106,106,109452,2022-03-16,2024-11-13
107,107,73716,2019-06-22,2028-01-04
